"Rating & Reviews","Rating & Reviews"
Connect,Connect
"Discover by category","Discover by category"
Category,Category
Label,Label
"Connect app","Connect App"
reviews,reviews
"items gallery","items gallery"
Resources,Resources
Updates,Updates
"LAST UPDATED","LAST UPDATED"
"All Categories","All Categories"
"Application Catalog","Application Catalog"
"Application Details","Application Details"
Provider,Provider
Name,Name
Status,Status
"Disconnect app","Disconnect app"
"Connection is failed","Connection is failed"
Details,Details
